prompt_idx,concept_id,template,prompt,auc_akiec,auc_bcc,auc_bkl,auc_df,auc_mel,auc_nv,auc_vasc,auc_max,auc_argmax_class
44,blue_grey_ovoid_nests,t3,a close-up photograph of a lesion with grey-blue oval clusters,0.3355600160578081,0.5024356248118381,0.4446721093181465,0.5290942389639669,0.522545369009115,0.5222577918304775,0.727031375703942,0.727031375703942,vasc
45,ulceration,t1,a dermoscopic image of an ulcerated skin lesion,0.37206500979282997,0.4266870421393738,0.4630410183133399,0.4354616464615291,0.513780260707635,0.55069701774439,0.45537294563843234,0.55069701774439,nv
46,ulceration,t2,a dermatoscopic image showing surface erosion or ulcer,0.3967062029366325,0.4100968787672077,0.4277276471632933,0.44871778153530073,0.5138688620993825,0.567752411924302,0.42226123434088036,0.567752411924302,nv
47,ulceration,t3,a close-up photograph of a lesion with an open wound,0.30450518837512014,0.4628366748346398,0.36886861016185973,0.553480948924252,0.42211428011369206,0.6142550444171707,0.7031421675669465,0.7031421675669465,vasc
48,scaly_surface,t1,a dermoscopic image of a skin lesion with a scaly surface,0.35063197206914587,0.42200919436854456,0.4406547526583765,0.4467704380508599,0.4944996569636382,0.5652038966738823,0.5797264682220434,0.5797264682220434,vasc
49,scaly_surface,t2,a dermatoscopic image showing keratotic scaling,0.38972665231195935,0.41018976881968344,0.421104978981499,0.4248845575951467,0.5198932078800353,0.5729103446376831,0.37664406390070104,0.5729103446376831,nv
50,scaly_surface,t3,"a close-up photograph of a rough, scaly patch of skin",0.5211975232047492,0.4433975656137221,0.5098984666248719,0.485452156059875,0.4491822405174948,0.5340428967930173,0.41022008964486845,0.5340428967930173,nv
51,strawberry_pattern,t1,a dermoscopic image showing a strawberry pattern with red pseudonetwork,0.3851482305998565,0.4089482178447984,0.3904489241443501,0.4861903789060972,0.4698857982946193,0.5893206108822068,0.6629243765084474,0.6629243765084474,vasc
52,strawberry_pattern,t2,a dermatoscopic image with red dots around hair follicles,0.3916034694597521,0.39483829826694156,0.37616868159884653,0.41498266371667314,0.49298598451435854,0.6114875059848541,0.3264705206298127,0.6114875059848541,nv
53,strawberry_pattern,t3,a close-up photograph of a facial actinic lesion with red pseudonetwork,0.362798924613457,0.35841793473497274,0.3851155560438505,0.4515380970802888,0.4391485641477997,0.6324528994791772,0.48418917365820024,0.6324528994791772,nv
54,milia_like_cysts,t1,a dermoscopic image showing milia-like cysts,0.34993735021836186,0.44696978358046846,0.43785800972706873,0.5518161441150091,0.4812279525629717,0.5562634237748751,0.6714722445695898,0.6714722445695898,vasc
55,milia_like_cysts,t2,a dermatoscopic image with small white round inclusions,0.3305808790433439,0.39444292009486537,0.41186730051026654,0.44804693329624107,0.49195609134568263,0.5949379794907761,0.4660768877140559,0.5949379794907761,nv
56,milia_like_cysts,t3,a close-up photograph of a lesion with white milky cyst-like spots,0.3261082928846879,0.4429096149619992,0.41551920443395846,0.5451764852478589,0.44823914534940706,0.5878372521483659,0.6343724859211586,0.6343724859211586,vasc
57,comedo_like_openings,t1,a dermoscopic image showing comedo-like openings,0.2812391275257594,0.40302103856477406,0.36772638155364396,0.5383325291847962,0.4496751151622072,0.6265879180687521,0.5910665440753937,0.6265879180687521,nv
58,comedo_like_openings,t2,a dermatoscopic image with brown pseudofollicular plugs,0.3091393258153595,0.34473721483547826,0.36735727190526246,0.4619391426182787,0.5177166715671861,0.6199312781400534,0.4096034938512815,0.6199312781400534,nv
59,comedo_like_openings,t3,a close-up photograph of a lesion with crater-like dark openings,0.30024208362225224,0.42348289108141174,0.38523496218037195,0.4930843225809256,0.48102118984612363,0.5985237289630972,0.610897597977244,0.610897597977244,vasc
60,cerebriform_surface,t1,a dermoscopic image with a cerebriform brain-like surface,0.48456698660632824,0.4894797648944833,0.4994361995204993,0.47074855361932033,0.5039483289228658,0.5054900499693171,0.48304045512010113,0.5054900499693171,nv
61,cerebriform_surface,t2,a dermatoscopic image showing a gyriform fissured pattern,0.3062559760592679,0.3344183209035328,0.38011075356401874,0.46704077685095435,0.5047386847005783,0.6180232546704341,0.4838553039880473,0.6180232546704341,nv
62,cerebriform_surface,t3,a close-up photograph of a lesion with a wavy brain-like texture,0.47793340875637147,0.4212162150145893,0.4915844908123258,0.5003810649824464,0.4178766245221993,0.5597658980765298,0.5217934720147109,0.5597658980765298,nv
63,central_white_patch,t1,a dermoscopic image showing a central white scar-like patch,0.23477221025996617,0.3392501914964159,0.3426520468612642,0.4742339217382359,0.45721642654121336,0.663207147039717,0.5092874382254913,0.663207147039717,nv
64,central_white_patch,t2,a dermatoscopic image with a peripheral pigment network surrounding a white centre,0.3379747697772587,0.3735880712023688,0.38078585137449816,0.41014980345450625,0.5559288052533569,0.5936466699485021,0.3310952764050109,0.5936466699485021,nv
65,central_white_patch,t3,a close-up photograph of a firm lesion with a white centre,0.29824239991241197,0.420190454776994,0.4197835616704076,0.5563099579669386,0.44111253552876606,0.5963493022165877,0.6557154350074704,0.6557154350074704,vasc
66,red_lacunae,t1,a dermoscopic image showing red lacunae,0.29494787294867586,0.3520485352905982,0.35956947966430813,0.43986200521320085,0.4796973439184554,0.6330858399475805,0.5538823123778875,0.6330858399475805,nv
67,red_lacunae,t2,a dermatoscopic image with bright red vascular spaces,0.3672892716810822,0.3612581473309274,0.3598772962825578,0.3697453239849255,0.4966206017837891,0.625892003167196,0.3967543960464315,0.625892003167196,nv
68,red_lacunae,t3,a close-up photograph of a vascular lesion with red lake-like areas,0.4030470907387808,0.3564597806715014,0.39082669908492923,0.39119290726501116,0.3926619229638341,0.6460993853863912,0.5202200896448683,0.6460993853863912,nv
69,healthy_skin,t1,a dermoscopic image of normal healthy skin,0.3953152561342043,0.40349374572070607,0.4741257554902576,0.4218751584752185,0.5359917671273156,0.5433427419173562,0.3725859096655556,0.5433427419173562,nv
70,healthy_skin,t2,a dermatoscopic image with no visible lesion,0.3490378696641242,0.39919190417938544,0.4142950927893798,0.41960035991080474,0.5135920023522493,0.5853844102698973,0.40805309734513273,0.5853844102698973,nv
71,healthy_skin,t3,a close-up photograph of unremarkable skin,0.45149276790384774,0.3990461382508851,0.46771836814581347,0.49997754179761245,0.4359743604822111,0.577964315096668,0.40692564073095044,0.577964315096668,nv
